ARO Accession,AMR Gene Family,Drug Class,Resistance Mechanism
ARO:3001609,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005702,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005703,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005704,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005705,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005706,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005707,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005708,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005709,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005710,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005711,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005712,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005713,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005714,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005715,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005716,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005717,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
ARO:3005718,OXA beta-lactamase;OXA-114-like beta-lactamase,penicillin beta-lactam,antibiotic inactivation
